2017-10-05 13:09:47,828 INFO  [main] citygreeter.Main (Main.java:26) - 2 parameters has been entered
2017-10-05 13:09:47,830 INFO  [main] citygreeter.Message (Message.java:62) - Entered argument for Time Zone - America/New_York
2017-10-05 13:09:47,838 INFO  [main] citygreeter.Message (Message.java:66) - ZoneId is set to - America/New_York
2017-10-05 13:09:47,888 INFO  [main] citygreeter.Message (Message.java:28) - Entered city name - New York
2017-10-05 13:09:47,888 INFO  [main] citygreeter.Message (Message.java:34) - LocalTime - 13:09:47.888
2017-10-05 13:09:47,888 INFO  [main] citygreeter.Message (Message.java:35) - LocalTime in city's Time Zone - 06:09:47.838
2017-10-05 13:09:47,890 INFO  [main] citygreeter.Message (Message.java:39) - Current day part - MORNING
2017-10-05 13:09:47,890 INFO  [main] citygreeter.Message (Message.java:40) - First part of Greeting will be - Доброе утро
2017-10-05 13:09:47,890 INFO  [main] citygreeter.Main (Main.java:28) - Final message - Доброе утро, New York!
